loc.x loc.y number sex index
1.42180393552915 0.153641843226189 4 1 7.57114372433513
86.5899178491882 0.7205303565414 3 1 6.85515173418126
58.4279463385297 2.12973220584209 2 0 7.52609590470221
72.5782084880812 1.95184155151989 3 1 3.5563844241623
94.7650395805866 2.36672693229437 4 0 7.14112545928597
90.716798083558 3.97881615724853 2 0 5.12301007753458
4.69523086857405 4.6945903958973 4 0 3.87663849439702
66.0275494756707 4.97023833854362 4 0 5.79586417334239
99.5966041105792 5.02848534249433 3 0 4.70184865517279
28.846402055781 5.93632710737556 3 0 6.21920562188609
32.5199596913345 6.5305134302309 8 1 5.44360907485348
32.8230902358943 7.18124749660055 2 0 4.51873716824026
76.092718318592 7.59205544134417 2 0 6.33491917603443
90.9491131042477 8.11782658102872 6 0 5.20292601299676
67.7715461039384 9.7053179911583 8 1 6.59676653073395
92.797656673891 9.69966472967054 2 0 5.81501493098883
62.8763250044725 10.7491681958896 4 0 7.54559052637168
37.8377486848826 11.7805969476189 6 0 5.6635169145202
94.8318271447979 11.8846419362548 5 1 5.88625186391175
16.9384257460335 13.2638113615252 4 0 6.18255547931158
66.7528590475565 13.6102190943924 8 1 3.9011827688165
72.7664750532169 13.3331649454155 6 0 7.92338945754762
86.8409342723528 13.3510625511294 3 0 7.08656410296135
42.6672130775794 14.286634827891 4 0 7.25722570643227
99.405982755219 14.9188862315656 4 0 6.23413330258138
9.87878796385573 17.1073522001289 2 1 5.88738222841769
74.0013561791278 17.3771351386274 1 0 6.80735796658865
73.1367197183745 17.4970376938342 4 0 5.28594790472374
95.3562400020557 17.6769213814467 3 0 4.39548032693523
69.6064585052911 18.2937976371715 4 0 6.12184517302476
74.8777135121351 18.1794471174431 4 0 6.74384685192469
78.0631738216763 18.4072881564515 4 0 7.60827115628042
93.8781220125682 20.2907827372874 3 0 5.07457171988406
56.9874829819862 20.7863900870053 7 0 8.50778221649775
61.3674564946833 20.897710299794 4 1 4.38150950099637
63.7014637339631 20.7898134065768 4 0 7.52973226807595
72.5482760946146 21.4861476674877 2 0 6.5506735931328
88.150868900621 21.7151264355786 6 1 3.87367222602665
59.5874643583287 22.4866743996941 3 0 6.3649749543402
36.0187577356162 22.9652880267625 8 1 5.84328626826638
75.6129656479724 23.4036320422319 3 1 4.12479223028613
58.5589693499633 24.3239211351899 2 0 5.88500632343836
61.5365704196823 24.5629717030476 5 1 6.93493363615338
45.4041207738696 24.906746493491 3 0 6.66363247928469
13.9846302678307 25.3250969786023 5 0 4.65955611058411
68.6129614502687 25.569835321831 8 0 8.15391551804086
81.1038195579554 25.214928868463 3 1 6.76397691227767
54.9328748464894 26.3005548932358 8 1 5.36981173805678
56.0090012748281 26.5032754860593 5 0 5.98744841170566
63.7824110302102 27.925871366152 1 1 7.11136219546026
71.9080963099627 28.3114428871105 3 1 5.78287045204801
76.2898655697447 29.1348144906887 8 1 6.14081537593665
68.1971407037222 29.5927445701307 5 0 3.82726802701466
1.799499257421 30.4762347883257 7 0 3.20879873107543
34.2445376879174 30.0503599176301 4 0 6.17821147407116
67.752421253536 30.0058225611238 3 0 7.37261655390293
70.0160933011249 30.1513380348103 5 0 6.52738206698354
59.9881388477488 30.9686341509616 4 1 7.04683222470034
62.1375791537896 31.2913000003182 6 0 4.8916109987783
67.5026055163477 31.5440713840872 3 0 6.56523496429719
55.4749773697637 32.7657602884727 5 0 6.83082908120187
67.6559503769167 32.5231659352135 3 0 7.87149902967823
99.8921368552586 32.5262426292818 6 0 5.62770948691443
99.7317640238283 33.3124010171537 3 0 3.2651491532768
59.5870514252659 33.8478211625125 5 1 3.59665266985329
61.1156890017716 33.8467915869427 1 1 6.54074671207657
67.7897419835883 33.7026977228706 2 0 5.77568350127988
93.7373116639762 34.0596679268078 3 0 5.96246550437346
64.8624836653151 34.7846046615822 3 0 7.05488722838375
66.1630357404153 38.1673741083982 2 0 6.38605274449675
70.3541452797023 37.9665159877312 5 0 4.96442316344611
50.3392945568402 38.8029702374719 7 0 6.48378363921246
60.5756891936938 39.0682120522177 3 0 3.84255493400238
65.6381806437015 39.5640346008735 7 0 4.38857837779543
70.7699265549355 39.4240171975978 1 1 6.19366965736775
84.263331400059 40.0765304172124 7 1 4.84260035340659
36.1455168687146 41.6115850103115 3 0 5.07260834973452
63.4268691110022 43.1095386110501 6 0 2.88965797522147
50.8403640938551 43.3832096504008 5 0 7.15143574153486
84.6038580009723 45.4365823266182 5 1 7.12539568924814
99.253448377888 45.5690791790302 5 1 7.40644952344348
44.5136280754846 46.1239852830125 2 1 6.59220641889174
18.3862017952805 46.6768080701299 5 1 4.81483959103117
35.7157337732417 46.7602784573008 6 0 5.32577121795078
84.9943843632923 47.285367886742 3 0 4.23104750753301
96.2500336638768 48.2420712810108 2 1 8.90629459075072
51.939143733573 50.5906685558592 4 1 7.92242700824242
73.937482003108 50.5316655747899 6 1 6.06571137725015
20.8390646918768 51.3195670861564 3 0 6.31187612654388
13.3791143487625 52.8660801235275 2 0 6.60321800321983
2.59180364981103 54.8554989863782 3 0 5.8189575929551
16.35253761228 54.8768757654533 2 0 7.40216872384802
78.7863353881487 55.6908773693933 3 0 5.58163040684314
77.0761412272873 57.0974418796826 2 0 4.68926346360419
12.7493216227156 57.7205567191636 7 0 4.50539905884038
97.408350521328 57.7134194371089 3 1 6.21368299483713
2.360943911914 58.3266436293085 6 0 3.96679382670128
49.5031567931881 58.6607370311536 4 1 5.61336655902108
40.9086587196003 59.3980795544102 1 0 3.52559103095651
89.0041084624836 59.9830194632018 4 0 6.69183050760578
